time,event,activo_ps,pasivo_ps,total_ps,dominante
00:00,Transición de dominio → CLICK domina el sistema,1.4,0.0,1.4,CLICK domina el sistema
00:23,Desbloqueado d (Trabajo Manual),9.8,1.0,10.8,CLICK domina el sistema
00:23,Desbloqueado d (Trabajo Manual),9.83,2.0,11.83,CLICK domina el sistema
00:24,Desbloqueado d (Trabajo Manual),9.9,3.0,12.9,CLICK domina el sistema
00:24,Desbloqueado d (Trabajo Manual),9.96,4.0,13.96,CLICK domina el sistema
00:25,Desbloqueado d (Trabajo Manual),10.06,5.0,15.06,CLICK domina el sistema
00:41,Desbloqueado d (Trabajo Manual),16.77,6.0,22.77,CLICK domina el sistema
00:41,Desbloqueado d (Trabajo Manual),16.78,7.0,23.78,CLICK domina el sistema
00:41,Desbloqueado d (Trabajo Manual),16.79,8.0,24.79,CLICK domina el sistema
01:14,Desbloqueado d (Trabajo Manual),30.17,9.0,39.17,CLICK domina el sistema
01:38,Desbloqueado e (Trueque),30.25,15.0,45.25,CLICK domina el sistema
01:41,Desbloqueado d (Trabajo Manual),30.25,16.0,46.25,CLICK domina el sistema
01:58,Desbloqueado md (Ritmo de Trabajo),34.42,16.6,51.02,CLICK domina el sistema
02:32,Desbloqueado me (Red de Intercambio),34.48,17.32,51.8,CLICK domina el sistema
03:23,Especialización de Oficio → x1.1,34.48,18.38,52.86,CLICK domina el sistema
04:30,Upgrade estructural → Persistencia (baseline elevado),36.6,18.38,54.98,CLICK domina el sistema
04:40,Desbloqueado md (Ritmo de Trabajo),41.72,19.08,60.8,CLICK domina el sistema
04:43,Desbloqueado d (Trabajo Manual),41.86,20.32,62.18,CLICK domina el sistema
05:03,Desbloqueado e (Trueque),41.97,27.04,69.01,CLICK domina el sistema
