time,event,activo_ps,pasivo_ps,total_ps,dominante
00:00,Transición de dominio → CLICK domina el sistema,1.4,0.0,1.4,CLICK domina el sistema
00:45,Desbloqueado d (Trabajo Manual),20.01,1.0,21.01,CLICK domina el sistema
00:45,Desbloqueado d (Trabajo Manual),20.01,2.0,22.01,CLICK domina el sistema
00:45,Desbloqueado d (Trabajo Manual),20.01,3.0,23.01,CLICK domina el sistema
00:46,Desbloqueado d (Trabajo Manual),20.01,4.0,24.01,CLICK domina el sistema
00:46,Desbloqueado d (Trabajo Manual),20.01,5.0,25.01,CLICK domina el sistema
00:46,Desbloqueado d (Trabajo Manual),20.01,6.0,26.01,CLICK domina el sistema
00:46,Desbloqueado d (Trabajo Manual),20.01,7.0,27.01,CLICK domina el sistema
01:44,Desbloqueado d (Trabajo Manual),31.77,8.0,39.77,CLICK domina el sistema
01:45,Desbloqueado d (Trabajo Manual),31.77,9.0,40.77,CLICK domina el sistema
01:45,Desbloqueado d (Trabajo Manual),31.77,10.0,41.77,CLICK domina el sistema
01:55,Desbloqueado md (Ritmo de Trabajo),31.77,10.6,42.37,CLICK domina el sistema
02:17,Desbloqueado md (Ritmo de Trabajo),33.68,11.24,44.92,CLICK domina el sistema
02:18,Desbloqueado d (Trabajo Manual),33.68,12.36,46.04,CLICK domina el sistema
02:27,Desbloqueado d (Trabajo Manual),33.68,13.48,47.16,CLICK domina el sistema
02:41,Desbloqueado md (Ritmo de Trabajo),33.68,14.29,47.97,CLICK domina el sistema
03:15,Desbloqueado e (Trueque),37.93,20.29,58.22,CLICK domina el sistema
03:38,Desbloqueado e (Trueque),37.93,26.29,64.22,CLICK domina el sistema
04:05,Desbloqueado me (Red de Intercambio),37.93,27.73,65.66,CLICK domina el sistema
05:03,Upgrade estructural → Persistencia,43.35,27.73,71.08,CLICK domina el sistema
05:50,Desbloqueado e (Trueque),43.35,34.45,77.8,CLICK domina el sistema
06:00,Desbloqueado me (Red de Intercambio),43.35,36.87,80.22,CLICK domina el sistema
06:25,Desbloqueado md (Ritmo de Trabajo),43.35,37.73,81.08,CLICK domina el sistema
06:25,Desbloqueado d (Trabajo Manual),43.35,38.99,82.34,CLICK domina el sistema
06:42,Desbloqueado d (Trabajo Manual),43.35,40.25,83.6,CLICK domina el sistema
06:53,Desbloqueado md (Ritmo de Trabajo),43.35,41.31,84.66,CLICK domina el sistema
07:04,Desbloqueado md (Ritmo de Trabajo),43.35,42.44,85.79,CLICK domina el sistema
07:18,Desbloqueado md (Ritmo de Trabajo),43.35,43.63,86.98,CLICK domina el sistema
07:33,RUN EXPORTADA,43.35,43.63,86.98,CLICK domina el sistema
09:42,Desbloqueado me (Red de Intercambio),43.35,46.34,89.69,CLICK domina el sistema
13:25,Desbloqueado e (Trueque),43.35,54.77,98.12,CLICK domina el sistema
15:31,Desbloqueado md (Ritmo de Trabajo),45.95,56.03,101.98,CLICK domina el sistema
15:32,Desbloqueado md (Ritmo de Trabajo),45.95,57.37,103.32,CLICK domina el sistema
15:42,Desbloqueado md (Ritmo de Trabajo),45.95,58.79,104.74,CLICK domina el sistema
17:50,Especialización de Oficio → x1.1,45.95,61.3,107.25,CLICK domina el sistema
18:33,Especialización de Oficio → x1.21,45.95,64.06,110.01,CLICK domina el sistema
