time,event,activo_ps,pasivo_ps,total_ps,dominante
00:00,Transición de dominio → CLICK domina el sistema,1.4,0.0,1.4,CLICK domina el sistema
00:23,Desbloqueado d (Trabajo Manual),12.6,1.0,13.6,CLICK domina el sistema
00:23,Desbloqueado d (Trabajo Manual),12.62,2.0,14.62,CLICK domina el sistema
00:23,Desbloqueado d (Trabajo Manual),12.66,3.0,15.66,CLICK domina el sistema
00:23,Desbloqueado d (Trabajo Manual),12.72,4.0,16.72,CLICK domina el sistema
00:24,Desbloqueado d (Trabajo Manual),12.8,5.0,17.8,CLICK domina el sistema
00:24,Desbloqueado d (Trabajo Manual),12.9,6.0,18.9,CLICK domina el sistema
00:41,Desbloqueado d (Trabajo Manual),20.9,7.0,27.9,CLICK domina el sistema
00:44,Desbloqueado d (Trabajo Manual),20.98,8.0,28.98,CLICK domina el sistema
01:08,Desbloqueado d (Trabajo Manual),30.17,9.0,39.17,CLICK domina el sistema
01:40,Desbloqueado e (Trueque),30.25,15.0,45.25,CLICK domina el sistema
01:51,Desbloqueado d (Trabajo Manual),30.25,16.0,46.25,CLICK domina el sistema
02:14,Desbloqueado me (Red de Intercambio),30.31,16.72,47.03,CLICK domina el sistema
02:43,Desbloqueado e (Trueque),30.31,23.44,53.75,CLICK domina el sistema
04:11,Desbloqueado e (Trueque),30.31,30.16,60.47,CLICK domina el sistema
04:21,Upgrade estructural → Persistencia (baseline elevado),30.31,30.16,60.47,CLICK domina el sistema
05:09,Especialización de Oficio → x1.1,34.7,31.16,65.86,CLICK domina el sistema
05:11,RUN EXPORTADA,34.73,31.16,65.89,CLICK domina el sistema
05:25,Desbloqueado d (Trabajo Manual),34.75,32.26,67.01,CLICK domina el sistema
05:25,Desbloqueado md (Ritmo de Trabajo),34.75,32.99,67.74,CLICK domina el sistema
06:08,Desbloqueado e (Trueque),34.83,39.71,74.54,CLICK domina el sistema
06:18,Desbloqueado d (Trabajo Manual),34.83,40.87,75.7,CLICK domina el sistema
06:25,Desbloqueado md (Ritmo de Trabajo),34.86,41.71,76.57,CLICK domina el sistema
07:03,Desbloqueado me (Red de Intercambio),34.89,44.94,79.83,CLICK domina el sistema
07:15,Desbloqueado md (Ritmo de Trabajo),34.89,45.83,80.72,CLICK domina el sistema
07:26,Desbloqueado d (Trabajo Manual),34.91,47.14,82.05,CLICK domina el sistema
07:42,Desbloqueado md (Ritmo de Trabajo),34.94,48.16,83.1,CLICK domina el sistema
08:36,Desbloqueado e (Trueque),34.96,55.69,90.65,Trueque domina el sistema
08:36,Transición de dominio → Trueque domina el sistema,34.96,55.69,90.65,Trueque domina el sistema
