time,event,activo_ps,pasivo_ps,total_ps,dominante
00:00,Transición de dominio → CLICK domina el sistema,1.4,0.0,1.4,CLICK domina el sistema
00:24,Desbloqueado d (Trabajo Manual),12.6,1.0,13.6,CLICK domina el sistema
00:24,Desbloqueado d (Trabajo Manual),12.6,2.0,14.6,CLICK domina el sistema
00:25,Desbloqueado d (Trabajo Manual),12.6,3.0,15.6,CLICK domina el sistema
00:25,Desbloqueado d (Trabajo Manual),12.6,4.0,16.6,CLICK domina el sistema
00:25,Desbloqueado d (Trabajo Manual),12.6,5.0,17.6,CLICK domina el sistema
00:26,Desbloqueado d (Trabajo Manual),12.6,6.0,18.6,CLICK domina el sistema
00:48,Desbloqueado d (Trabajo Manual),18.88,7.0,25.88,CLICK domina el sistema
01:06,Desbloqueado d (Trabajo Manual),18.88,8.0,26.88,CLICK domina el sistema
01:07,Desbloqueado d (Trabajo Manual),18.88,9.0,27.88,CLICK domina el sistema
01:07,Desbloqueado d (Trabajo Manual),18.88,10.0,28.88,CLICK domina el sistema
01:41,Desbloqueado e (Trueque),21.68,16.0,37.68,CLICK domina el sistema
02:20,Desbloqueado e (Trueque),21.68,22.0,43.68,CLICK domina el sistema
02:44,Desbloqueado d (Trabajo Manual),26.23,23.0,49.23,CLICK domina el sistema
03:27,Desbloqueado me (Red de Intercambio),26.23,24.44,50.67,CLICK domina el sistema
03:50,Desbloqueado md (Ritmo de Trabajo),29.79,24.99,54.78,CLICK domina el sistema
03:58,Desbloqueado md (Ritmo de Trabajo),29.79,25.57,55.36,CLICK domina el sistema
04:41,Desbloqueado e (Trueque),29.79,32.29,62.08,CLICK domina el sistema
05:41,Desbloqueado me (Red de Intercambio),29.79,34.71,64.5,CLICK domina el sistema
06:43,Upgrade estructural → Persistencia,34.04,34.71,68.75,CLICK domina el sistema
