time,event,activo_ps,pasivo_ps,total_ps,dominante
00:00,Transición de dominio → CLICK domina el sistema,1.4,0.0,1.4,CLICK domina el sistema
00:28,Desbloqueado d (Trabajo Manual),11.87,1.0,12.87,CLICK domina el sistema
00:28,Desbloqueado d (Trabajo Manual),11.92,2.0,13.92,CLICK domina el sistema
00:28,Desbloqueado d (Trabajo Manual),11.96,3.0,14.96,CLICK domina el sistema
00:28,Desbloqueado d (Trabajo Manual),12.02,4.0,16.02,CLICK domina el sistema
00:29,Desbloqueado d (Trabajo Manual),12.08,5.0,17.08,CLICK domina el sistema
00:29,Desbloqueado d (Trabajo Manual),12.18,6.0,18.18,CLICK domina el sistema
00:29,Desbloqueado d (Trabajo Manual),12.28,7.0,19.28,CLICK domina el sistema
00:33,Desbloqueado d (Trabajo Manual),13.7,8.0,21.7,CLICK domina el sistema
01:18,Desbloqueado d (Trabajo Manual),30.17,9.0,39.17,CLICK domina el sistema
01:19,Desbloqueado d (Trabajo Manual),30.18,10.0,40.18,CLICK domina el sistema
01:22,Desbloqueado md (Ritmo de Trabajo),30.27,10.6,40.87,CLICK domina el sistema
01:48,Desbloqueado e (Trueque),30.36,16.6,46.96,CLICK domina el sistema
02:19,Desbloqueado me (Red de Intercambio),30.36,17.32,47.68,CLICK domina el sistema
