time,event,activo_ps,pasivo_ps,total_ps,dominante
00:00,Transición de dominio → CLICK domina el sistema,1.4,0.0,1.4,CLICK domina el sistema
00:23,Desbloqueado d (Trabajo Manual),12.6,1.0,13.6,CLICK domina el sistema
00:23,Desbloqueado d (Trabajo Manual),12.62,2.0,14.62,CLICK domina el sistema
00:23,Desbloqueado d (Trabajo Manual),12.66,3.0,15.66,CLICK domina el sistema
00:23,Desbloqueado d (Trabajo Manual),12.72,4.0,16.72,CLICK domina el sistema
00:24,Desbloqueado d (Trabajo Manual),12.8,5.0,17.8,CLICK domina el sistema
00:24,Desbloqueado d (Trabajo Manual),12.9,6.0,18.9,CLICK domina el sistema
00:41,Desbloqueado d (Trabajo Manual),20.9,7.0,27.9,CLICK domina el sistema
00:44,Desbloqueado d (Trabajo Manual),20.98,8.0,28.98,CLICK domina el sistema
01:08,Desbloqueado d (Trabajo Manual),30.17,9.0,39.17,CLICK domina el sistema
01:40,Desbloqueado e (Trueque),30.25,15.0,45.25,CLICK domina el sistema
01:51,Desbloqueado d (Trabajo Manual),30.25,16.0,46.25,CLICK domina el sistema
02:14,Desbloqueado me (Red de Intercambio),30.31,16.72,47.03,CLICK domina el sistema
02:43,Desbloqueado e (Trueque),30.31,23.44,53.75,CLICK domina el sistema
04:11,Desbloqueado e (Trueque),30.31,30.16,60.47,CLICK domina el sistema
04:21,Upgrade estructural → Persistencia (baseline elevado),30.31,30.16,60.47,CLICK domina el sistema
05:09,Especialización de Oficio → x1.1,34.7,31.16,65.86,CLICK domina el sistema
