time,event,activo_ps,pasivo_ps,total_ps,dominante
00:00,Transición de dominio → CLICK domina el sistema,1.4,0.0,1.4,CLICK domina el sistema
00:23,Desbloqueado d (Trabajo Manual),7.0,1.0,8.0,CLICK domina el sistema
00:23,Desbloqueado d (Trabajo Manual),7.0,2.0,9.0,CLICK domina el sistema
00:23,Desbloqueado d (Trabajo Manual),7.0,3.0,10.0,CLICK domina el sistema
00:24,Desbloqueado d (Trabajo Manual),7.0,4.0,11.0,CLICK domina el sistema
00:24,Desbloqueado d (Trabajo Manual),7.0,5.0,12.0,CLICK domina el sistema
00:29,Desbloqueado d (Trabajo Manual),7.0,6.0,13.0,CLICK domina el sistema
01:10,Desbloqueado d (Trabajo Manual),18.34,7.0,25.34,CLICK domina el sistema
01:11,Desbloqueado d (Trabajo Manual),18.34,8.0,26.34,CLICK domina el sistema
01:11,Desbloqueado d (Trabajo Manual),18.34,9.0,27.34,CLICK domina el sistema
01:15,Desbloqueado d (Trabajo Manual),18.34,10.0,28.34,CLICK domina el sistema
01:58,Desbloqueado d (Trabajo Manual),26.23,11.0,37.23,CLICK domina el sistema
02:05,Desbloqueado md (Ritmo de Trabajo),26.23,11.66,37.89,CLICK domina el sistema
02:51,Desbloqueado e (Trueque),26.23,17.66,43.89,CLICK domina el sistema
03:03,Desbloqueado e (Trueque),26.23,23.66,49.89,CLICK domina el sistema
03:47,Desbloqueado me (Red de Intercambio),26.23,25.1,51.33,CLICK domina el sistema
04:51,Especialización de Oficio → x1.1,26.23,26.27,52.5,CLICK domina el sistema
06:03,Upgrade estructural → Persistencia,29.98,26.27,56.25,CLICK domina el sistema
06:44,Desbloqueado d (Trabajo Manual),36.31,27.43,63.74,CLICK domina el sistema
06:48,Desbloqueado md (Ritmo de Trabajo),36.31,28.27,64.58,CLICK domina el sistema
06:58,Desbloqueado md (Ritmo de Trabajo),36.31,29.16,65.47,CLICK domina el sistema
07:07,Desbloqueado md (Ritmo de Trabajo),36.31,30.1,66.41,CLICK domina el sistema
07:22,Desbloqueado md (Ritmo de Trabajo),36.31,31.1,67.41,CLICK domina el sistema
