time,event,activo_ps,pasivo_ps,total_ps,dominante
00:00,Transición de dominio → CLICK domina el sistema,1.4,0.0,1.4,CLICK domina el sistema
00:36,Desbloqueado d (Trabajo Manual),17.3,1.0,18.3,CLICK domina el sistema
00:36,Desbloqueado d (Trabajo Manual),17.33,2.0,19.33,CLICK domina el sistema
00:36,Desbloqueado d (Trabajo Manual),17.39,3.0,20.39,CLICK domina el sistema
00:36,Desbloqueado d (Trabajo Manual),17.47,4.0,21.47,CLICK domina el sistema
00:37,Desbloqueado d (Trabajo Manual),17.57,5.0,22.57,CLICK domina el sistema
00:37,Desbloqueado d (Trabajo Manual),17.68,6.0,23.68,CLICK domina el sistema
00:49,Desbloqueado d (Trabajo Manual),24.03,7.0,31.03,CLICK domina el sistema
00:50,Desbloqueado d (Trabajo Manual),24.04,8.0,32.04,CLICK domina el sistema
01:02,Desbloqueado md (Ritmo de Trabajo),24.39,8.48,32.87,CLICK domina el sistema
01:26,Desbloqueado e (Trueque),24.46,14.48,38.94,CLICK domina el sistema
02:45,Upgrade estructural → Persistencia (baseline elevado),24.46,14.48,38.94,CLICK domina el sistema
03:01,Desbloqueado d (Trabajo Manual),32.14,15.54,47.68,CLICK domina el sistema
03:05,Desbloqueado d (Trabajo Manual),32.2,16.6,48.8,CLICK domina el sistema
03:08,Desbloqueado d (Trabajo Manual),32.25,17.66,49.91,CLICK domina el sistema
04:06,Especialización de Oficio → x1.1,39.51,18.83,58.34,CLICK domina el sistema
04:34,Desbloqueado me (Red de Intercambio),39.55,19.55,59.1,CLICK domina el sistema
04:56,Desbloqueado e (Trueque),39.55,26.27,65.82,CLICK domina el sistema
05:17,Desbloqueado md (Ritmo de Trabajo),39.55,27.04,66.59,CLICK domina el sistema
05:17,Desbloqueado md (Ritmo de Trabajo),39.56,27.85,67.41,CLICK domina el sistema
05:25,Desbloqueado d (Trabajo Manual),39.62,29.16,68.78,CLICK domina el sistema
06:16,Desbloqueado me (Red de Intercambio),50.49,30.77,81.26,CLICK domina el sistema
06:40,Desbloqueado e (Trueque),50.49,38.3,88.79,CLICK domina el sistema
07:03,Desbloqueado d (Trabajo Manual),50.49,39.61,90.1,CLICK domina el sistema
07:03,Desbloqueado md (Ritmo de Trabajo),50.5,40.63,91.13,CLICK domina el sistema
07:07,Desbloqueado md (Ritmo de Trabajo),50.54,41.72,92.26,CLICK domina el sistema
07:40,Desbloqueado e (Trueque),50.58,49.24,99.82,CLICK domina el sistema
07:50,Desbloqueado md (Ritmo de Trabajo),50.58,50.39,100.97,CLICK domina el sistema
08:08,Desbloqueado d (Trabajo Manual),50.61,51.95,102.56,CLICK domina el sistema
