time,event,activo_ps,pasivo_ps,total_ps,dominante
00:00,Transición de dominio → CLICK domina el sistema,1.4,0.0,1.4,CLICK domina el sistema
00:15,Desbloqueado d (Trabajo Manual),9.8,1.0,10.8,CLICK domina el sistema
00:16,Desbloqueado d (Trabajo Manual),9.82,2.0,11.82,CLICK domina el sistema
00:16,Desbloqueado d (Trabajo Manual),9.84,3.0,12.84,CLICK domina el sistema
00:16,Desbloqueado d (Trabajo Manual),9.89,4.0,13.89,CLICK domina el sistema
00:17,Desbloqueado d (Trabajo Manual),10.04,5.0,15.04,CLICK domina el sistema
00:29,Desbloqueado d (Trabajo Manual),11.66,6.0,17.66,CLICK domina el sistema
00:49,Desbloqueado d (Trabajo Manual),21.56,7.0,28.56,CLICK domina el sistema
00:49,Desbloqueado d (Trabajo Manual),21.56,8.0,29.56,CLICK domina el sistema
01:13,Desbloqueado md (Ritmo de Trabajo),21.71,8.48,30.19,CLICK domina el sistema
01:18,Desbloqueado d (Trabajo Manual),21.76,9.54,31.3,CLICK domina el sistema
01:48,Desbloqueado d (Trabajo Manual),26.55,10.6,37.15,CLICK domina el sistema
01:49,Desbloqueado d (Trabajo Manual),26.56,11.66,38.22,CLICK domina el sistema
02:04,Desbloqueado e (Trueque),26.63,17.66,44.29,CLICK domina el sistema
02:21,Desbloqueado md (Ritmo de Trabajo),28.23,18.36,46.59,CLICK domina el sistema
03:02,Desbloqueado me (Red de Intercambio),28.27,19.08,47.35,CLICK domina el sistema
04:11,Upgrade estructural → Persistencia,28.27,19.08,47.35,CLICK domina el sistema
04:46,Desbloqueado e (Trueque),32.34,25.8,58.14,CLICK domina el sistema
05:37,Especialización de Oficio → x1.1,32.34,27.04,59.38,CLICK domina el sistema
